Manuf;Model;Desc;Engine_Capacity;Fuel_Type;Powertrain;Euro_Standard;Diesel_VED_Supplement;Fuel_Cost;Electric_Cost;Total_Cost;Noise_Level
ABARTH;595;595 1.4 145 BHP Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;73.5
ABARTH;595;595 1.4 145 BHP Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,043;£0;£2,043;73.5
ABARTH;595;595 1.4 145 BHP Hatchback;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;73.5
ABARTH;595;595 1.4 145 BHP Hatchback;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,043;£0;£2,043;73.5
ABARTH;595;595 1.4 TJET 145bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;74.0
ABARTH;595;595 1.4 TJET 145bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,908;£0;£1,908;74.0
ABARTH;595;595 COMPETIZIONE 1.4 TJET 180bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,854;£0;£1,854;72.0
ABARTH;595;595 COMPETIZIONE 1.4 TJET 180bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,881;£0;£1,881;74.0
ABARTH;595;595 COMPETIZIONE 1.4 TJET 180bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,962;£0;£1,962;74.0
ABARTH;595;595 COMPETIZIONE 1.4 TJET 180bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,854;£0;£1,854;72.0
ABARTH;595;595 COMPETIZIONE 1.4 TJET 180bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,881;£0;£1,881;74.0
ABARTH;595;595 COMPETIZIONE 1.4 TJET 180bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,962;£0;£1,962;74.0
ABARTH;595;595 Competizione 180 BHP Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,096;£0;£2,096;74.0
ABARTH;595;595 Competizione 180 BHP Hatchback;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,069;£0;£2,069;71.5
ABARTH;595;595 Competizione 180 BHP Hatchback;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,069;£0;£2,069;71.5
ABARTH;595;595 Competizione 180 BHP Hatchback;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,096;£0;£2,096;74.0
ABARTH;595;595 ESSEESSE 1.4 TJET 180bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,854;£0;£1,854;72.0
ABARTH;595;595 ESSEESSE 1.4 TJET 180bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,854;£0;£1,854;72.0
ABARTH;595;595 SCORPIONEORO 1.4 TJET 165bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,962;£0;£1,962;73.5
ABARTH;595;595 SCORPIONEORO 1.4 TJET 165bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,069;£0;£2,069;73.5
ABARTH;595;595 TURISMO 1.4 TJET 165bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,774;£0;£1,774;74.0
ABARTH;595;595 TURISMO 1.4 TJET 165bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;66.0
ABARTH;595;595 TURISMO 1.4 TJET 165bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,881;£0;£1,881;74.0
ABARTH;595;595 TURISMO 1.4 TJET 165bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,908;£0;£1,908;66.0
ABARTH;595;595 TURISMO 1.4 TJET 165bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,774;£0;£1,774;74.0
ABARTH;595;595 TURISMO 1.4 TJET 165bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;66.0
ABARTH;595;595 TURISMO 1.4 TJET 165bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,881;£0;£1,881;74.0
ABARTH;595;595 TURISMO 1.4 TJET 165bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,908;£0;£1,908;66.0
ABARTH;595;595 Turismo 165 BHP Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;66.0
ABARTH;595;595 Turismo 165 BHP Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,962;£0;£1,962;73.5
ABARTH;595;595 Turismo 165 BHP Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,069;£0;£2,069;73.5
ABARTH;595;595 Turismo 165 BHP Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,150;£0;£2,150;66.0
